1	.github/workflows/ci.yml	@@ -23,14 +23,14 @@ jobs:
2	.github/workflows/ci.yml	@@ -51,8 +51,8 @@ jobs:
3	.github/workflows/ci.yml	@@ -67,7 +67,7 @@ jobs:
4	.github/workflows/release.yml	@@ -1,12 +1,19 @@
5	.github/workflows/release.yml	@@ -16,10 +23,10 @@ jobs:
6	.github/workflows/release.yml	@@ -45,22 +52,33 @@ jobs:
7	.github/workflows/release.yml	@@ -71,8 +89,8 @@ jobs:
8	CHANGELOG.md	@@ -11,7 +11,7 @@ change to what it expects would dissolve the argumen
9	CHANGELOG.md	@@ -26,8 +26,8 @@ change to what it expects would dissolve the argumen
10	CHANGELOG.md	@@ -41,7 +41,7 @@ change to what it expects would dissolve the argumen
11	CHANGELOG.md	@@ -96,6 +96,82 @@ change to what it expects would dissolve the argume
12	CHANGELOG.md	@@ -347,4 +423,5 @@ round asked of every fix which other surfaces reac
13	README.md	@@ -7,7 +7,7 @@ An entry separates the four roles a sentence in a rese
14	README.md	@@ -130,20 +130,24 @@ and a document that still cites a refuted entry 
15	docs/FRESHNESS.md	@@ -15,8 +15,9 @@ checker stays green — the evidence is still there,
16	docs/FRESHNESS.md	@@ -48,54 +49,102 @@ reader can understand.
17	docs/FRESHNESS.md	@@ -143,7 +192,14 @@ pointer, exactly as `propagate` writes one naming
18	docs/FRESHNESS.md	@@ -157,6 +213,15 @@ build at the citation site.
19	docs/FRESHNESS.md	@@ -201,7 +266,9 @@ Defect seeds:
20	docs/FRESHNESS.md	@@ -211,6 +278,7 @@ Known-good seeds:
21	docs/FRESHNESS.md	@@ -228,8 +296,9 @@ that survives its own rule being deleted is not pr
22	docs/FRESHNESS.md	@@ -292,6 +361,22 @@ configuration comment, `SCHEMA.md` and `section_s
23	docs/FRESHNESS.md	@@ -324,4 +409,6 @@ rather than something a later reader has to notice
24	docs/SCHEMA.md	@@ -104,9 +104,11 @@ or an id), `verbatim_sha`, and optionally `verbat
25	pyproject.toml	@@ -72,6 +72,18 @@ exclude = ["src/claims_ledger/corpus/seeds"]
26	src/claims_ledger/__init__.py	@@ -30,7 +30,7 @@ from .schema import (
27	src/claims_ledger/authoring.py	@@ -12,10 +12,11 @@ run, so registering a source stores the bytes in t
28	src/claims_ledger/authoring.py	@@ -30,6 +31,9 @@ from .schema import (
29	src/claims_ledger/authoring.py	@@ -185,7 +189,7 @@ def create_entry(ledger, slug, **kwargs):
30	src/claims_ledger/authoring.py	@@ -257,9 +261,14 @@ def restamp(ledger, path, write=False, force=Fals
31	src/claims_ledger/authoring.py	@@ -269,7 +278,7 @@ def restamp(ledger, path, write=False, force=False
32	src/claims_ledger/authoring.py	@@ -337,22 +346,60 @@ def register_source(
33	src/claims_ledger/cli.py	@@ -30,6 +30,7 @@ from .schema import (
34	src/claims_ledger/cli.py	@@ -77,7 +78,9 @@ evidence-plain = ["experiment"]
