1	.github/workflows/ci.yml	@@ -57,7 +57,7 @@ jobs:
2	.github/workflows/release.yml	@@ -83,9 +83,15 @@ jobs:
3	.github/workflows/release.yml	@@ -94,3 +100,32 @@ jobs:
4	CHANGELOG.md	@@ -16,7 +16,7 @@ change to what it expects would dissolve the argument.
5	CHANGELOG.md	@@ -32,7 +32,7 @@ would have put a `0.1.0` on the record that nobody could ever install.
6	CHANGELOG.md	@@ -385,6 +385,120 @@ Written after the section above, and before anything was tagged.
7	CHANGELOG.md	@@ -409,7 +523,18 @@ Recorded as methodology changes, with the seeds named, under this file's own rul
8	README.md	@@ -7,7 +7,7 @@ An entry separates the four roles a sentence in a research note usually fuses 
9	README.md	@@ -31,20 +31,74 @@ the stored bytes of its registered source.
10	README.md	@@ -130,7 +184,7 @@ and a document that still cites a refuted entry as live fails.
11	README.md	@@ -140,7 +194,7 @@ claim nobody has tried to falsify is worth as little as an unfooled checker.
12	README.md	@@ -290,7 +344,7 @@ $ pytest -q
13	README.md	@@ -303,12 +357,17 @@ grow between releases.
14	RELEASING.md	@@ -0,0 +1,88 @@
15	docs/FRESHNESS.md	@@ -217,10 +217,38 @@ forgeable by writing the verdict pre-emptively.
16	docs/FRESHNESS.md	@@ -266,7 +294,7 @@ Defect seeds:
17	docs/FRESHNESS.md	@@ -407,8 +435,9 @@ rather than something a later reader has to notice.
18	docs/SCHEMA.md	@@ -128,6 +128,7 @@ or an id), `verbatim_sha`, and optionally `verbatim_change` with a reason.
19	src/claims_ledger/authoring.py	@@ -188,6 +188,11 @@ def create_entry(ledger, slug, **kwargs):
20	src/claims_ledger/authoring.py	@@ -344,6 +349,14 @@ def register_source(
21	src/claims_ledger/cli.py	@@ -43,12 +43,24 @@ HOOK_TEMPLATE = """#!/bin/sh
22	src/claims_ledger/corpus/README.md	@@ -259,12 +259,30 @@ and a human judges; `review` means the machinery passes and only the human recor
23	src/claims_ledger/corpus/README.md	@@ -273,11 +291,12 @@ with `write=False`. The corpus proves the semantic classes; `tests/` proves the
24	src/claims_ledger/corpus/README.md	@@ -320,6 +339,7 @@ with `write=False`. The corpus proves the semantic classes; `tests/` proves the
25	src/claims_ledger/corpus/README.md	@@ -380,8 +400,9 @@ outline; a test-oracle literature on corpora of this shape.
26	src/claims_ledger/corpus/run.py	@@ -95,12 +95,19 @@ def matches(report, commit, entry, part, message=None):
27	src/claims_ledger/corpus/run.py	@@ -142,7 +149,13 @@ def stage(src, dst, pins=None):
28	src/claims_ledger/corpus/run.py	@@ -222,6 +235,30 @@ def run_checkers(ledger, commit=None):
29	src/claims_ledger/corpus/seeds/D05-dead-pointer/entries/A0002-refresh-schedule-rests-on-an-entry-that-is-gone.md	@@ -0,0 +1,40 @@
30	src/claims_ledger/corpus/seeds/D05-dead-pointer/entries/A0003-nobody-reported-eviction-thrash.md	@@ -0,0 +1,39 @@
31	src/claims_ledger/corpus/seeds/D05-dead-pointer/expected.json	@@ -1,5 +1,5 @@
32	src/claims_ledger/corpus/seeds/D05-dead-pointer/expected.json	@@ -12,13 +12,36 @@
33	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/01/docs/note-100.md	@@ -0,0 +1,7 @@
